Magandáng umaga.	Good morning.
Sinimulán ng nanay kong maglutò kaninang alas-nuwebe ng umaga.	My mom began cooking at 9 o'clock this morning.
Naganáp ang aksidente kaninang alas-singko ng umaga.	The accident happened at 5 o'clock this morning.
Naggupít ng damó si Peter kaninang umaga.	Peter cut/trimmed the grass this morning.
Pumasok siyá sa páaralán kaninang umaga.	He went to school earlier this morning.
Sino ang gumigising sa iyó sa umaga?	Who wakes you up in the morning?
Anóng oras ka bumangon kaninang umaga?	What time did you get out of bed this morning?
Itinaás nilá ang bandera kaninang umaga.	They raised the flag this morning.
Nahulí ka ba sa school kaninang umaga?	Were you late for school this morning?
Tumátakbó si Bob nang mga isáng oras bawa't umaga.	Bob runs for about an hour every morning.
Mágigising ka ba nang alás kwatro ng umaga?	Would you be able to wake up at 4 a.m.?
Ipinakita sa TV yung aksidente kaninang umaga.	The accident this morning was shown on TV.
Nakasama ko si Joseph sa palengke kaninang umaga.	I was with Joseph at the market earlier this morning.
Walâ pa akóng nakakain simulâ nitóng umaga.	I have not had anything to eat since this morning.
Anóng oras kayó gumigising sa umaga?	What time do you all wake up in the morning?
Umáalís ka ba tuwíng umaga?	Do you leave the house every morning?
Kadalasan mga alas-saís akó bumabangon sa umaga.	Usually I get up at around 6 o'clock in the morning.
Sino sa inyó ang nagbasá ng balità kaninang umaga?	Who among you read the news this morning?
Mga alás dos na ng umaga nang mákatulog akó.	It was already about 2 a.m. when I was able to sleep.
Kaninang umaga hindî akó nakapág-almusál.	Earlier this morning I was not able to have breakfast.
Anóng oras kayó lumakad kaninang umaga?	What time did you leave this morning?
Namamalengke ako bawat umaga.	I go shopping every morning.
Gumising akong maaga sa umaga.	I got up early in the morning.
Talagang malamig nitong umaga.	This morning it was very cold.
Talagang maaga ka nitong umaga.	You are very early this morning.
Nagmadali si Ann kaninang umaga.	Ann was in a hurry this morning.
Nangitlog ang manok nitong umaga.	The chicken laid an egg this morning.
Tinawagan ko siya kaninang umaga.	I called him this morning.
Aalis si Tom ng Kobe bukas ng umaga.	Tom is leaving Kobe tomorrow morning.
Alas sais ako gumising nitong umaga.	I got up at six this morning.
Nagbabasa siya ng dyaryo kada umaga.	He reads the newspaper every morning.
Magandang umaga. Oras nang gumising.	Good morning. It's time to wake up.
Ginrit niya ako ng "Magandang umaga."	She greeted me with "Good morning."
Nagpraktis ka ba ng harp nitong umaga?	Did you practise the harp this morning?
Malimit na nagdudutsa ako tuwing umaga.	I am in the habit of taking a shower in the morning.
Isang basong gatas ang ininom ko sa umaga.	I drank a glass of milk this morning.
Umalis si Tom kaninang alas kuwatro ng umaga.	Tom left at four in the morning.
Siya ay natutulog sa umaga at nagtatrabaho sa gabi.	He sleeps during the day and works at night.
Ang manunula'y nagsusulat ng tula mula nitong umaga.	The poet has been writing poems since this morning.
Talagang malinaw ang umagang araw na di ko matingnan.	The morning sunshine is so bright that I can't look at it.
Masama ang pakiramdam ko kapag gumigising ako sa umaga.	I feel sick when I get up in the morning.
Ang lalaking nakita namin kaninang umaga ay si Ginoong Green.	The man we saw this morning was Mr. Green.
Magluluto ang tatay ko ng isang masarap na pagkain bukas nang umaga.	My father will cook me a delicious meal tomorrow morning.
Ang paniki ay nangangaso ng pagkain at kumakain sa gabi, ngunit natutulog sa umaga.	A bat hunts food and eats at night, but sleeps during the day.
Hindi kapani-paniwala na walang sinuman ang natabunan ng gumuhong gusali sa lindol kaninang umaga.	It's hard to believe that no one was covered by the building's debris in the earthquake this morning.
