(lúc) mấy giờ	what time?
AM	sáng
ăn bữa sáng	have breakfast
ăn sáng	have breakfast
ba mẹ	parents
bạn bè	friends
bao giờ	when(?) (googtrans)
bây giờ	now
biết	know
bơi (lội)	swim
buổi sáng	in the morning
buồn ngủ	sleepy
chạy xe hơi	drive a car
chạy xe	to drive
chiều	PM
chơi thể thao	play sports
chơi	to play
chưa	ever / not yet
cũng	also
đến trễ	being late
đi mua sắm	going shopping
đi ngủ	go to sleep
điện thoại	phone
đồ ăn	food
đồ ăn Mỹ	American food
đọc báo	read news
đọc tin tức	read news
đói (bụng)	hungry
em có bao giờ ... chưa?	Have you ever ....
em có biết?	do you know?
em khỏe.	I'm good.
gặp	meet, see
giúp đỡ	help
gọi cho mẹ	call mom
hạnh phúc	happy
họ	them
hôi	stink
khát nước	thirsty
khi nào	when
khỏe	good
korean	hàn, hàn quốc
lái xe	to drive
lái xe hơi	drive car
làm ồn	being noisy, making noise
loại	type/(species - googtrans)
loại gì	what kind (googtrans)
loại thức ăn	kind of food
lúc 9 giờ tối	at 9 o'clock at night
lúc hai giờ	at two O'clock
lúc nào	when?
Mễ	Mexican
mệt	tired
mì	noodles
mình	we
mọi người	people
món ăn	food
món ăn Mỹ	American food
món Hoa	Chinese food
món Trung Quốc	Chinese food
món Trung	Chinese food
món Việt	Vietnamese food
Mỹ	American
nấu ăn	to cook
nghe nhạc	listen to music
nhanh	fast
nhảy	dance
nhé	please(?)
nói	talk, speak
nói cho anh biết	tell me that
nói cho anh biết điều đó	tell me that
nói chuyện (với)	talk to
nói chuyện với anh	talk to/with me
nói chuyện với họ	talk to them
nói dối	tell a lie
nói tiếng Anh	speak English
nước trái cây	fruit juice
ôn bài	review the lessons
phim	movie/film
quá nhanh	so fast, too fast
rất	very, so, are, highly, extremely, great
rau củ	vegetable
rời khỏi	leave
Rồi	Yes/Already
rửa chén	do dishes
thích	like
thức ăn	food
thức dậy	get up
thường	usually
tối	at night
tối qua	last night
tới trễ	being late
với	to, with
vui	happy
xả rác	littering
xe	vehicle
xem	watch
xem loại	view type (googtrans)
xem tivi	watch TV
xếp hàng	get in line
xin lỗi (vì) đã ...	sorry for doing..
