học	study
có	yes
không	no
đọc tin tức	read news
đọc báo	read news
nhảy	dance
đi mua sắm	going shopping
thường	usually
chơi thể thao	play sports
nói chuyện	talk to
bạn bè	friends
nói chuyện với	talk to
lái xe hơi	drive car (lie say-uh huh-ee)	
ba mẹ	parents
điện thoại	phone
không có gì	you're welcome
cũng	also
Rất vui được gặp lại anh.	Nice to see you again.
mệt	tired
vui	happy
hạnh phúc	happy (han foop)
vui, hạnh phúc	happy
buồn ngủ	sleepy
khỏe	good
khát nước	thirsty
đói, đói bụng	hungry
ôn bài	review the lessons(?) (ohm buy)
nói	talk, speak
họ	them (ha)
nghe nhạc	listen to music (n-yay-uh n-yeah-k)
xem tivi	watch TV (sem tee vee)
Em có biết ...?	Do you know ...? 
biết	know (bee-ett)
hôi	stink
bơi lội	swim (buh-ee loy)
nấu ăn	to cook (nuh-oo annn)
nói tiếng Anh	speak English (no-ee teeing anh)
thích	like (teek)
rất 	very
lại	again
mọi người	people
mấy giờ	what time (may-_yuhh)
gặp	meet, see
lúc mấy giờ	what time? (luke may ya)
lúc nào	when? (luke nyaw)
khi nào	when?
tối qua	last night (toy waa)
rửa chén	do dishes (roowah cheen)
gọi cho mẹ	call mom
đi ngủ	go to sleep
với	to, with
