kaawaan	to pity ka_an <kinaawaan, kinákaawaan, kákaawaan>
kabagan	to have gas / flatulence _ <kinabagan, kinákabagan, kákabagan>
kabahán	to feel nervous; to palpitate; to be startled; to have a premonition (actor) _ <kinabahán, kinákabahán, kákabahán>
kabilangan	to consist of something; to belong to something (a team/organization/society/etc.); to be a part of something; to involve or include something ka_an <kinabilangan, kinabíbilangan, kabíbilangan>
kabitán	to attach; to fasten _ <kinabitán, kinákabitán, kákabitán>
káblehán	to put a cable on; to wrap with a cable _an <kináblehán, kinakáblehán, kakáblehán>
kadyutín	to go to and fro; to give quick thrusts (object) _ <kinadyót, kinákadyót, kákadyutín>
kagalitan	to scold someone (object); to be scolded (actor) ka_an <kinagalitan, kinagagalitan, kagagalitan>
kagatán	to bite something _an <kinagatán, kinákagatán, kákagatán>
kagatín	to bite something (object) _in <kinagát, kinákagát, kákagatín>
kagisnán	to find upon waking; to be born _ <kinagisnán, kinákagisnán, kákagisnán>
kaharapín	to face something (object) ka_in <kinaharáp, kinákaharáp, kákaharapín>
kahinatnán	to be the fate; to be the outcome; to result in something _ <kinahinatnán, kinahíhinatnán, kahíhinatnán>
kaibiganin	to make friends with someone; to become friends with someone (object) ka_in <kinaibigan, kinakaibigan, kakaibiganin>
kailanganin	to need something; to require something (object) ka_in <kinailangan, kinákailangan, kákailanganin>
kainan	to eat from something (a plate / a banquet / a dessert / etc ); to eat somewhere (loc/dir) _an <kinainan, kinakainan, kakainan>
kainggitán	to envy ka_an <kinainggitán, kinákainggitán, kákainggitán>
kainin	to eat something; * focus on the thing being eaten (object) _in <kinain, kinakain, kakainin>
kalabitín	to poke someone; to strum something (an instrument, strings, etc.); to tap or motion to someone to get their attention; to shake someone to get their attention (object) _ <kinalabít, kinákalabít, kákalabitín>
kaladkarín	to drag something (object) _ <kinaladkád, kinákaladkád, kákaladkarín>
kalagín	to loosen; to untwist; to untie; to absolve (object) _ <kinalág, kinákalág, kákalagín>
kalaruín	to make someone a playmate (object) ka_in <kinalarô, kinákalarô, kákalaruín>
kalasín	to dismantle (object) _ <kinalás, kinákalás, kákalasín>
kalatan	to clutter _ <kinalatan, kinákalatan, kákalatan>
kalbuhín	to make bald (object) _in <kinalbó, kinákalbó, kákalbuhín>
kalimutan	to forget something; to overlook something (actor) ka_an <kinalimutan, kinákalimutan, kákalimutan>
kaliskisán	to descale; to remove scales from (benefactive) ka_an <kinaliskisán, kinákaliskisán, kákaliskisán>
kaliwaín	to cheat on someone; to have an affair; to use one's left hand (object) ka_in <kinaliwâ, kinákaliwâ, kákaliwaín>
kalkulahín	to calculate something (object) _ <kinalkulá, kinákalkulá, kákalkulahín>
kalmutín	to claw someone; to scratch someone (object) _ <kinalmót, kinákalmót, kákalmutín>
kaltasín	to deduct; to cancel (object) _ <kinaltás, kinákaltás, kákaltasín>
kalugdán	to enjoy; to take pleasure in _ <kinalugdán, kinalúlugdán, kalúlugdán>
kalungin	to hold someone in one's lap; to carry a child (object) _ <kinalong, kinakalong, kakalungin>
kamayán	to shake hands with someone (loc/dir) _an <kinamayán, kinákamayán, kákamayán>
kamayín	to use one's hands on something; to knead something (object) _in <kinamáy, kinákamáy, kákamayín>
kampihán	to take sides (object) _an <kinampihán, kinákampihán, kákampihán>
kamtán	to achieve; to acquire; to obtain _an <kinamtán, kinákamtán, kákamtamín>
kamuhian	to hate; to detest (loc/dir) _ <kinamuhian, kinamúmuhian, kamúmuhian>
kamutin	to scratch an itch (object) _ <kinamot, kinakamot, kakamutin>
kanawín	to dissolve; to dilute (object) _ <kinanáw, kinákanáw, kákanawín>
kanselahín	to cancel something (object) _in <kinanselá, kinákanselá, kákanselahín>
kantahán	to sing to someone; * focus on the person being sung to _an (benefactive) <kinantahán, kinákantahán, kákantahán>
kantahín	to sing something (object) _in <kinantá, kinákantá, kákantahín>
kantiín	to touch; to hit lightly (object) _in <kinantî, kinakantî, kákantiín>
kantutín	to fuck someone/something; to have sex with someone * vulgar (object) _in <kinantót, kinákantót, kákantutín>
kanyahín	to appropriate something for oneself (object) _ <kinanyá, kinákanyá, kákanyahín>
kanyunín	to cannon (object) _in <kinanyón, kinákanyón, kákanyunín>
kapaín	to find something by feeling or groping; to feel for something (object) _ <kinapâ, kinakapâ, kákapaín>
kapalín	to create (object) _ <kinapál, kinakapál, kákapalín>
