#174
ibukOd ang iyong pagkAbigo	set aside your failures
magsanay sa pagtAtanOng	practice asking questions
sa palagay ko kasasAlan ko ito	I think it was my fault
huwag mag-seryoso	don't take yourself very seriously
panatilihin ang listahan ng iyong mga tagumpay	keep a record of your success
magpAkatotoo ka	just be yourself
maghanAp ng mga kaibigan nakakaintindi sa iyo	find friends who understand you
huwag asAhan ang isang biglaang pagbabAgo 
ano ang dapat kong gawin upang matigil ang pagkahiya?	what should I do to stop feeling shy?
itigil na matakot	stop being scared
magAgawa lAmang ang pagbabago sa mas mahabang panahon	change can only happen over a longer period of time
makipag-usap sa taong pinagkakatiwalaan mo	talk with someone you trust
sa pamamagitan ng pagtatanong mako-kontrol mo ang pag-uusap	by asking questions, you can control the conversation
ang pagsasalita ay tanging paraan upang mapabuti	speaking is the only way to improve

#140
bakit mo ginawa yun?	why did you do that?
nais niya tayong makitang muli.	he wants to see us again.
busy ka ba kahapon?	were you busy yesterday?
halos nagkamali ako.	I nearly made a mistake.
malinaw na mali siya.	obviously he is wrong.
parang hindi siya Filipino.	he doesn't seem to be a Filipino.
hindi ka ba nauuhaw?	aren't you thirsty?
may nagsasalita ba dito ng Hapon?	does someone here speak Japanese?
saan sila gawa?	what are they made of?
pwede mo ba ako ikuha ng upuan?	will you get me a chair?
nakalimutan nila isara ang pinto.	they forgot to lock the door.
balik ka uli bukas.	come again tomorrow.
paki "on" naman ng TV.	please turn on the TV.
alam ko wala sa kanila.	I know none of them.
sinapa niya ang pintuan.	she kicked the door.
may curfew ba?	is there a curfew?
ikinagagalak kong makita ka.	I'm glad to see you.
gaano ba iyon kalayo mula rito?	how far is it from here?
gusto kong matutong lumangoy.	I want to learn how to swim.
mananatili ka ba sa bahay?	will you stay at home?
maaga akong umuwi araw-araw.	I go home early every day.
mas malakas siya kaysa sa akin.	he is stronger than I am.
nasa sa iyo na ang pagpapasya.	it's up to you to decide.
alam ko wala sa kanila.	I know none of them.
tinulungan ko siya kahapon.	I helped her yesterday.
anong agahan mo?	what did you eat for breakfast?
meron akong naisip.	I have an idea.
hindi namin alam kung anong gagawin namin.	we didn't know what to do.
bakit sobrang init?	why is it so hot?
lubos siyang nalulungkot.	he is very depressed.
kaya mo itong gawin, di ba?	you can do it, can't you?
kahit saan ka magpunta, susundan kita.	no matter where you go, I'll follow you.
hindi mahalaga kung saan siya nanggaling.	it doesn't matter where he comes from.
nakakapagsalita ka ba ng Hapon?	can you speak Japanese?
huwag kalimutan na sumulat sa akin.	don't forget to write me.
hinintay ko siya ng matagal.	I waited for him for a long time.
kailan mo siya nakilala?	how long have you known her? (literally: when did you meet her?)?
labing anim pa lang siya.	she has just turned sixteen.
gusto mo ba ng itim na ibon?	do you like black bird?
normal ang kanyang temperatura.	his temperature is normal.
ano ang nasa kahon?	what is in the box?
mahirap sagutin ang tanong.	it is difficult to answer the question.
namula ang mukha niya.	her face turned red.
kailan ito matatapos?	when does it end?
anong oras ka dumating doon?	what time did you arrive there?
ang trabaho ko ay tapos na.	my work is finished.
anong sinabi ng doktor?	what did the doctor say?
ingatan mo ang iyong sarili.	take care of yourself.
galit na galit siya sa iyo.	he's very angry with you.
